MatchType,MatchRef,Court,ScheduledAt,Status,Date,IsBreak,Label
bracket,R1-Mm-r1-0,A,,scheduled,,,
bracket,R1-Mm-r1-1,A,,scheduled,,,
bracket,R1-Mm-r1-2,A,,scheduled,,,
bracket,R1-Mm-r1-3,A,,scheduled,,,
bracket,R1-Mm-r1-4,A,,scheduled,,,
bracket,R1-Mm-r1-5,A,,scheduled,,,
bracket,R1-Mm-r1-6,A,,scheduled,,,
bracket,R1-Mm-r1-7,A,,scheduled,,,
bracket,R1-Mm-r1-8,A,,scheduled,,,
bracket,R1-Mm-r1-9,A,,scheduled,,,
bracket,R1-Mm-r1-10,A,,scheduled,,,
bracket,R1-Mm-r1-11,A,,scheduled,,,
bracket,R1-Mm-r1-12,A,,scheduled,,,
bracket,R1-Mm-r1-13,A,,scheduled,,,
bracket,R1-Mm-r1-14,A,,scheduled,,,
bracket,R1-Mm-r1-15,A,,scheduled,,,
bracket,R1-Mm-r1-16,A,,scheduled,,,
bracket,R1-Mm-r1-17,A,,completed,,,
bracket,R1-Mm-r1-18,A,,completed,,,
bracket,R1-Mm-r1-19,A,,completed,,,
bracket,R1-Mm-r1-20,A,,completed,,,
bracket,R1-Mm-r1-21,A,,completed,,,
bracket,R1-Mm-r1-22,A,,completed,,,
bracket,R1-Mm-r1-23,A,,completed,,,
bracket,R1-Mm-r1-24,A,,completed,,,
bracket,R1-Mm-r1-25,A,,completed,,,
bracket,R1-Mm-r1-26,A,,completed,,,
bracket,R1-Mm-r1-27,A,,completed,,,
bracket,R1-Mm-r1-28,A,,completed,,,
bracket,R1-Mm-r1-29,A,,completed,,,
bracket,R1-Mm-r1-30,A,,completed,,,
bracket,R1-Mm-r1-31,A,,completed,,,
bracket,R2-Mm-r2-0,A,,scheduled,,,
bracket,R2-Mm-r2-1,A,,scheduled,,,
bracket,R2-Mm-r2-2,A,,scheduled,,,
bracket,R2-Mm-r2-3,A,,scheduled,,,
bracket,R2-Mm-r2-4,A,,scheduled,,,
bracket,R2-Mm-r2-5,A,,scheduled,,,
bracket,R2-Mm-r2-6,A,,scheduled,,,
bracket,R2-Mm-r2-7,A,,scheduled,,,
bracket,R2-Mm-r2-8,A,,scheduled,,,
bracket,R2-Mm-r2-9,A,,scheduled,,,
bracket,R2-Mm-r2-10,A,,scheduled,,,
bracket,R2-Mm-r2-11,A,,scheduled,,,
bracket,R2-Mm-r2-12,A,,scheduled,,,
bracket,R2-Mm-r2-13,A,,scheduled,,,
bracket,R2-Mm-r2-14,A,,scheduled,,,
bracket,R2-Mm-r2-15,A,,scheduled,,,
bracket,R3-Mm-r3-0,A,,scheduled,,,
bracket,R3-Mm-r3-1,A,,scheduled,,,
bracket,R3-Mm-r3-2,A,,scheduled,,,
bracket,R3-Mm-r3-3,A,,scheduled,,,
bracket,R3-Mm-r3-4,A,,scheduled,,,
bracket,R3-Mm-r3-5,A,,scheduled,,,
bracket,R3-Mm-r3-6,A,,scheduled,,,
bracket,R3-Mm-r3-7,A,,scheduled,,,
bracket,R4-Mm-r4-0,A,,scheduled,,,
bracket,R4-Mm-r4-1,A,,scheduled,,,
bracket,R4-Mm-r4-2,A,,scheduled,,,
bracket,R4-Mm-r4-3,A,,scheduled,,,
bracket,R5-Mm-r5-0,A,,scheduled,,,
bracket,R5-Mm-r5-1,A,,scheduled,,,
bracket,R6-Mm-r6-0,A,,scheduled,,,
