MatchType,MatchRef,Court,ScheduledAt,Status,Date,IsBreak,Label
pool,Pool A-0,A,,scheduled,,,
pool,Pool A-1,A,,scheduled,,,
pool,Pool A-2,A,,scheduled,,,
pool,Pool A-3,A,,scheduled,,,
pool,Pool A-4,A,,scheduled,,,
pool,Pool A-5,A,,scheduled,,,
pool,Pool B-0,A,,scheduled,,,
pool,Pool B-1,A,,scheduled,,,
pool,Pool B-2,A,,scheduled,,,
pool,Pool C-0,A,,scheduled,,,
pool,Pool C-1,A,,scheduled,,,
pool,Pool C-2,A,,scheduled,,,
pool,Pool D-0,A,,scheduled,,,
pool,Pool D-1,A,,scheduled,,,
pool,Pool D-2,A,,scheduled,,,
pool,Pool E-0,A,,scheduled,,,
pool,Pool E-1,A,,scheduled,,,
pool,Pool E-2,A,,scheduled,,,
pool,Pool F-0,A,,scheduled,,,
pool,Pool F-1,A,,scheduled,,,
pool,Pool F-2,A,,scheduled,,,
pool,Pool G-0,A,,scheduled,,,
pool,Pool G-1,A,,scheduled,,,
pool,Pool G-2,A,,scheduled,,,
pool,Pool H-0,A,,scheduled,,,
pool,Pool H-1,A,,scheduled,,,
pool,Pool H-2,A,,scheduled,,,
pool,Pool I-0,A,,scheduled,,,
pool,Pool I-1,A,,scheduled,,,
pool,Pool I-2,A,,scheduled,,,
pool,Pool J-0,A,,scheduled,,,
pool,Pool J-1,A,,scheduled,,,
pool,Pool J-2,A,,scheduled,,,
pool,Pool K-0,A,,scheduled,,,
pool,Pool K-1,A,,scheduled,,,
pool,Pool K-2,A,,scheduled,,,
pool,Pool L-0,A,,scheduled,,,
pool,Pool L-1,A,,scheduled,,,
pool,Pool L-2,A,,scheduled,,,
pool,Pool M-0,A,,scheduled,,,
pool,Pool M-1,A,,scheduled,,,
pool,Pool M-2,A,,scheduled,,,
pool,Pool N-0,A,,scheduled,,,
pool,Pool N-1,A,,scheduled,,,
pool,Pool N-2,A,,scheduled,,,
pool,Pool O-0,A,,scheduled,,,
pool,Pool O-1,A,,scheduled,,,
pool,Pool O-2,A,,scheduled,,,
pool,Pool P-0,A,,scheduled,,,
pool,Pool P-1,A,,scheduled,,,
pool,Pool P-2,A,,scheduled,,,
pool,Pool P-3,A,,scheduled,,,
pool,Pool P-4,A,,scheduled,,,
pool,Pool P-5,A,,scheduled,,,
