MatchType,MatchRef,Court,ScheduledAt,Status,Date,IsBreak,Label
bracket,R1-Mm-r1-0,A,,scheduled,,,
bracket,R1-Mm-r1-1,A,,scheduled,,,
bracket,R1-Mm-r1-2,A,,scheduled,,,
bracket,R1-Mm-r1-3,A,,scheduled,,,
bracket,R1-Mm-r1-4,A,,scheduled,,,
bracket,R1-Mm-r1-5,A,,scheduled,,,
bracket,R1-Mm-r1-6,A,,scheduled,,,
bracket,R1-Mm-r1-7,A,,scheduled,,,
bracket,R1-Mm-r1-8,A,,scheduled,,,
bracket,R1-Mm-r1-9,A,,scheduled,,,
bracket,R1-Mm-r1-10,A,,scheduled,,,
bracket,R1-Mm-r1-11,A,,scheduled,,,
bracket,R1-Mm-r1-12,A,,completed,,,
bracket,R1-Mm-r1-13,A,,completed,,,
bracket,R1-Mm-r1-14,A,,completed,,,
bracket,R1-Mm-r1-15,A,,completed,,,
bracket,R2-Mm-r2-0,A,,scheduled,,,
bracket,R2-Mm-r2-1,A,,scheduled,,,
bracket,R2-Mm-r2-2,A,,scheduled,,,
bracket,R2-Mm-r2-3,A,,scheduled,,,
bracket,R2-Mm-r2-4,A,,scheduled,,,
bracket,R2-Mm-r2-5,A,,scheduled,,,
bracket,R2-Mm-r2-6,A,,scheduled,,,
bracket,R2-Mm-r2-7,A,,scheduled,,,
bracket,R3-Mm-r3-0,A,,scheduled,,,
bracket,R3-Mm-r3-1,A,,scheduled,,,
bracket,R3-Mm-r3-2,A,,scheduled,,,
bracket,R3-Mm-r3-3,A,,scheduled,,,
bracket,R4-Mm-r4-0,A,,scheduled,,,
bracket,R4-Mm-r4-1,A,,scheduled,,,
bracket,R5-Mm-r5-0,A,,scheduled,,,
